State,Total_Transactions,Total_amount
arunachal-pradesh,140090,339456055.3
assam,36278,55685104.31
assam,19015,29531618.72
assam,17827,17537571.6
assam,12544,16344758.3
assam,12320,11675419.25
assam,11160,21394161.56
assam,10964,14211878.22
assam,9017,11227244.31
assam,8676,13458100.48
assam,8395,9021445.995
assam,48384,116170095.7
assam,28765,34543064.76
assam,23020,37069985.81
assam,21573,43770461.53
assam,18670,42156397.49
assam,16484,28303495.14
assam,16265,16302454.69
assam,14557,27844594.36
assam,13501,14412327.17
assam,13067,12434331.74
assam,53744,63112506.38
assam,34599,82030505.13
assam,33634,64706017.2
assam,28483,65165029.43
assam,23772,46640754.81
assam,23417,24795434.49
assam,20581,41002558.83
assam,20313,31377434.88
assam,20256,36590779.64
assam,20134,24505351.77
assam,191097,40365958.68
assam,59167,55990370.03
assam,51149,98762225.01
assam,48402,33450786.82
assam,44539,104401373.3
assam,43288,77616354.1
assam,38675,31863173.32
assam,35778,72836714.44
assam,34279,45240498.1
assam,31676,62489723.75
assam,503839,1078124662
assam,62258,120121843.4
assam,57692,41044662.98
assam,55124,119978294.6
assam,46667,41897236.73
assam,43515,89813448.44
assam,42671,51768766.27
assam,42533,61584131.18
assam,39406,76359941.51
assam,32414,45265938.03
assam,1651072,3400967171
assam,67144,136158592.9
assam,61117,41121611.01
assam,56840,133563591.3
assam,45316,99439900.43
assam,40783,85345393.69
assam,35256,71372278.77
assam,35051,88623379.49
assam,34614,71776708.63
assam,34411,68114448.05
assam,1013793,3958005279
assam,94854,170916941
assam,79856,158778818.6
assam,76010,53729190.61
assam,62282,124589790
assam,58487,113539110
assam,51280,92682137.47
assam,49702,92674425.57
assam,49020,109565259.7
assam,48872,88506490.97
assam,1082582,4255353965
assam,168681,609655507.2
assam,100676,185406119.7
assam,93370,61392432.94
assam,87774,183566068.8
assam,68636,147064092.2
assam,64729,129171976.3
assam,55522,108944084.3
assam,54001,122295825.2
assam,53185,96803120.01
assam,1780036,7174086431
assam,118710,214331822.8
assam,112344,71576592.16
assam,107942,230073726.5
assam,79047,168980460.3
assam,77757,151759510.6
assam,67504,156019307
assam,66187,133654758.6
assam,62192,112929794.9
assam,57925,113264666.4
assam,1192185,4778567764
assam,98935,166763954.4
assam,89467,179401031.8
assam,73336,119626131.8
assam,71811,123805864.7
assam,64789,139873983
assam,63697,111255037.1
assam,60266,116013366.5
assam,59364,95325866.33
assam,59124,122990395.1
assam,2659242,10013749463
assam,118055,232420643.5
assam,116668,338398316.2
assam,112568,249091248.4
assam,88704,179615224.3
assam,80101,178370369.6
assam,79450,195889630.8
assam,74329,171892777.9
assam,72486,143646695.2
assam,69823,156945730.9
assam,2706533,10280991607
assam,208338,423133158
assam,191909,448388467.1
assam,146326,361729899.3
assam,141467,305286931.9
assam,136686,399891954.2
assam,124055,335253852.5
assam,115652,275380158
assam,109902,224541694
assam,107715,228190617.3
assam,6524270,17428233385
assam,223886,596404833.4
assam,220209,532676696.4
assam,219173,454425488.5
assam,164447,415951266.1
assam,147267,339125036.7
assam,134378,379837463.6
assam,121609,125229899.4
assam,118996,298364755
assam,115698,244218722.5
assam,9152474,20665273163
assam,301912,712393100.1
assam,214544,426648785.4
assam,210224,485126089.3
assam,156202,329131794.6
assam,141496,376162457.4
assam,141071,380180308.1
assam,140945,344252530.6
assam,140014,436650824.7
assam,138550,131928199
assam,12729978,27464031964
assam,427258,967975521.6
assam,317420,611161689.3
assam,306809,640424297.5
assam,228604,464233898.5
assam,214826,510386365.5
assam,202529,500653116.3
assam,185134,430608616
assam,184851,502029448.6
assam,181532,432011296.6
assam,16779607,36391151861
assam,589421,1306149293
assam,478852,833712155.1
assam,476771,875944174.2
assam,350899,765800172.3
assam,326950,624753356.4
assam,293043,655881497.7
assam,285464,789572479.1
assam,279718,685350696.7
assam,258000,438702563.6
assam,21143287,46189827358
assam,737669,1585322412
assam,642641,1105531337
assam,607413,955576175.5
assam,441260,881518668.7
assam,429897,775937821.4
assam,382727,817368217.4
assam,368895,924024506.3
assam,362610,1037947224
assam,328830,517855589.4
assam,27909097,54262481044
